OID_,Length,TWI,TWI_5,TWI_10,TWI_15,Slope,Slope_5,Slope_10,Slope_15,Irrigation_Density_100,Irrigation_Density_200,Irrigation_Density_300,Irrigation_Density_400,Value,NEAR_FID,NEAR_DIST
1,3.39672841416954,6.7367468,7.1887569,7.2523475,6.8969264,0.6867452,0.8140500,1.7212958,2.4075265,0.0000000,0.5030526,2.6921306,2.5855188,3.3967285,1,655.504441047634373
2,3.99258055011547,8.4928036,7.7389550,7.7634106,7.7045455,0.3334078,0.4913422,0.6041749,1.1138004,0.0000000,1.6698092,2.1376112,2.4088364,3.9925807,1,686.191419184663118
3,6.63955089758073,4.3471694,5.0591593,5.2200232,5.2935066,16.7260094,9.6582174,9.6409798,9.5696898,0.0000000,2.1060081,2.8743699,2.5478392,6.6395507,1,302.256414143621043
4,3.53292572930058,5.8244758,6.3382983,5.9897833,5.7415714,3.5371351,3.4096761,5.0828943,6.6279263,11.0109901,5.3410511,3.6537793,3.3125076,3.5329258,1,1490.801337993170364
5,0.984353797981544,7.7697721,5.0646639,5.4145555,5.4204478,2.5324640,7.0387855,6.7908392,7.1011615,6.0889130,3.3028224,2.9732823,3.0633552,0.9843538,1,316.865709319190842
6,1.10328919196601,7.4339976,5.2763543,5.4502559,5.4057031,5.8612337,7.8929954,7.1765070,7.2809072,6.0694814,3.2211921,2.8237538,3.1304929,1.1032892,1,350.272935679490502
7,2.73351927938727,6.9393005,7.5673862,7.3186178,6.9165449,1.4843227,2.2379932,2.8314326,3.4603608,0.0000000,0.0000000,1.0537595,2.3572640,2.7335193,1,582.555800073787168
8,1.31339222594386,6.3802128,7.4359598,7.4489508,7.5181928,1.0672628,1.9195441,2.2258461,2.3089395,0.0000000,0.0000000,0.2276583,2.9275687,1.3133923,1,611.821569380609731
9,2.35479130793062,5.1747289,6.4794803,6.2843809,6.1565709,3.3388934,3.3015366,3.9484236,5.0435839,4.6386700,3.1035316,3.2750485,2.7208052,2.3547914,1,117.056526117465921
10,3.83202610315216,7.2635560,6.1799426,6.2703714,6.2351346,3.6911776,3.8551443,3.8475971,4.7110839,4.8588390,3.7670269,3.4520144,2.4559720,3.8320260,1,112.950446334342416
11,3.10680695358027,4.9967203,5.8264909,5.5587306,5.7676668,14.5787420,8.6556034,8.1994991,7.4187450,0.0000000,2.4113805,3.1635644,2.8643425,3.1068070,1,192.203600285934982
12,7.35318481257822,5.2039275,5.9288120,5.4556475,5.7297626,4.7921963,5.0131812,7.0794635,6.4409204,5.0699577,3.0157461,3.3086035,2.4410512,7.3531847,1,296.957266352945396
13,9.31393409072673,8.1487856,6.1930175,5.3603711,5.2736487,4.4032869,9.1221085,8.6494055,8.6724215,2.1218624,2.7810810,1.9920458,2.1154203,9.3139343,1,418.753826702863421
14,10.289250482748,5.3798866,5.2697387,5.2994328,5.2901387,14.4720659,9.9797487,9.3760300,8.2659769,5.0947409,3.0154569,2.0682325,2.2944798,10.2892504,1,400.030479587541038
15,0.961838702126697,6.6979742,6.0895839,5.8659029,5.9627233,5.1523252,4.6230206,5.6372471,4.3505535,5.1644244,4.1109080,3.5901005,3.3315086,0.9618387,1,1238.901334128723647
16,2.14405405239531,5.3063707,5.6870303,6.0442915,6.0403996,4.2540889,3.5292120,3.3381631,4.0768080,9.0802174,6.3699088,3.9347565,3.9260943,2.1440539,1,1140.440600426605215
17,2.59298283658625,5.0988741,5.4736938,5.8904800,5.9134483,3.9819903,4.0267701,3.9512560,4.5026789,10.4720354,6.4653163,4.3704634,4.0734777,2.5929828,1,1113.873724857101024
18,4.43684879169127,6.1857839,6.3761573,5.9451842,6.1598034,2.2742987,2.4595208,4.6186953,4.3706441,0.0000000,0.3410078,0.5059841,0.4837692,4.4368486,1,323.252363621146060
19,6.59863637002786,4.4585619,6.0709348,5.8212681,5.6075206,8.1708527,5.1341786,5.3528557,5.9514022,0.0000000,0.5128271,2.6862149,2.8000815,6.5986362,1,452.440350685728049
