OID_,mem_point_LineOID,mem_point_Value,Movement_Merge_FID,Movement_Merge_Id,Movement_Merge_Length,Movement_Merge_Distance,Movement_Merge_UniID,POINT_X,POINT_Y,TWI,S,ID,NEAR_FID,DFC
1,0,0,0,0,35,35.4070154227,1,825574.2361,9891244.4891,7.6016974,2.3459892,1.7726862,1,127.26440505041
2,1,0,1,0,5,4.65284094137,2,825767.0207,9891224.4512,6.2489495,3.847044,0.8807949,1,66.1471460690208
3,2,0,2,0,5,5.20161376336,3,825718.8113,9891072.2935,6.6077652,3.5987039,1.5404894,1,43.0769846410195
4,3,0,3,0,8,8.35431663523,4,825892.6302,9890945.6036,6.6010199,2.8176479,1.0391095,1,147.42829196567
5,4,0,4,0,13,12.8996504766,5,825854.0186,9890677.6066,7.0764279,2.8429329,2.1916773,1,28.9936839621824
6,5,0,5,0,11,11.340898934,6,825769.0078,9890485.0821,8.256403,1.6683685,3.3952775,1,206.121341170861
7,6,0,6,0,11,11.2825706971,7,825657.3711,9890471.0856,8.3263464,1.6279056,3.3145404,1,312.455666780292
8,7,0,7,0,16,15.7782740136,8,825670.8031,9890577.8099,7.7952905,1.840613,3.8524837,1,221.789959918626
9,8,0,8,0,15,14.9266575335,9,825513.045,9890614.1091,6.3429489,3.8507605,4.0459404,1,307.651008551084
10,9,0,9,0,5,5.10859300016,10,825393.6096,9890617.4164,7.235105,1.9866453,5.447227,1,405.789023024626
11,10,0,10,0,3,2.84042822328,11,825274.4234,9890799.8205,7.673861,1.7368671,4.8657165,1,463.905027443783
12,11,0,11,0,5,4.56320877227,12,825050.2613,9890760.9509,7.9285374,1.4865731,4.8152871,1,684.355678054359
13,12,0,12,0,4,4.39440263424,13,825059.072,9890749.2828,7.9285374,1.4865731,4.8152871,1,680.730872345292
14,13,0,13,0,6,5.50245384106,14,825003.5358,9890722.7715,5.9799504,4.5069418,4.6667323,1,742.228057969766
15,14,0,14,0,5,4.97987316364,15,824994.8046,9890766.5601,5.9799504,4.5069418,4.4021797,1,734.086630833069
16,15,0,15,0,4,4.36362884717,16,824933.5534,9890745.7903,5.9799504,4.5069418,4.2244406,1,798.747164880806
17,16,0,16,0,6,5.58297028314,17,825019.2786,9890701.2211,5.9799504,4.5069418,4.6667323,1,736.809188936151
18,17,0,17,0,6,6.28908661404,18,824994.54,9890680.7291,5.9799504,4.5069418,4.4367585,1,767.872558065428
19,18,0,18,0,4,4.17715831589,19,824944.269,9890706.3937,5.9799504,4.5069418,4.2443204,1,803.158609752543
20,19,0,19,0,3,2.59912405679,20,825079.1848,9890655.964,6.507823,2.4784346,4.7208257,1,689.589473106709
21,20,0,20,0,5,5.00790926696,21,825055.6368,9890712.876,7.9285374,1.4865731,4.8246746,1,698.933315277312
22,21,0,21,0,3,2.72726802893,22,824975.0446,9890890.468,6.8405204,2.142714,4.2569933,1,720.694063522634
23,22,0,22,0,474,473.532520884,23,825431.2348,9891291.2932,7.7103043,1.8001809,1.934302,1,275.936572757192
24,23,0,23,0,9,9.01264450734,24,825707.7031,9891310.5251,6.9870887,3.0716696,0.9051961,1,3.6281430828815
25,24,0,24,0,3,2.62778533082,25,825731.9258,9891397.732,6.9870887,3.0716696,0.6973616,1,42.7596989775679
26,25,0,25,0,12,11.7088448762,26,825672.3944,9891462.8037,6.608655,2.6470237,1.2613598,1,13.5334926838664
27,26,0,26,0,3,2.77245510351,27,825724.9408,9891524.7957,6.608655,2.6470237,1.0066316,1,32.5836448995155
28,27,0,27,0,7,6.74169858015,28,825648.2544,9891764.264,5.9628706,5.1261029,2.5569241,1,26.7948233855131
29,28,0,28,0,11,11.1843576437,29,825533.7734,9891910.7111,7.0004516,2.2695549,4.4002929,1,29.3625110354524
30,29,0,29,0,9,8.99273803526,30,825490.17,9891965.9562,5.8251047,4.293222,4.9952536,1,34.0559289127973
31,30,0,30,0,7,7.35409881931,31,825510.4988,9892005.6262,5.8251047,4.293222,4.6605148,1,4.43296160375795
32,31,0,31,0,7,7.07997940331,32,825433.3462,9892066.11,6.304029,2.5878246,5.530035,1,28.8125664002145
33,32,0,32,0,5,5.37176921269,33,825497.5078,9892097.7146,6.304029,2.5878246,5.1590571,1,42.543463650658
34,33,0,33,0,15,14.9067825494,34,825355.1881,9891987.6477,7.0413299,1.8304803,6.4432874,1,136.126264222187
35,34,0,34,0,15,15.2273702107,35,825334.286,9891993.0717,7.0413299,1.8304803,6.5297222,1,151.153869600088
36,35,0,35,0,15,14.8567313911,36,825210.9855,9891932.1793,7.5032477,1.280781,7.5113592,1,288.359007179724
37,36,0,36,0,16,15.9848948701,37,825381.0936,9891818.6437,6.6267042,1.9563442,5.8582659,1,207.214061868542
38,37,0,37,0,44,44.1191666836,38,825281.5484,9891658.8368,6.8746543,2.0205319,5.5597863,1,380.666894944713
