OID_,Movements_south_projected2_Length,POINT_X,POINT_Y,TWI,S,ID,NEAR_FID,DFC
1,3.396728414169544,825396.894999999552965,9871211.190999999642372,6.6802206,2.2223437,2.5024967,1,655.504441047634373
2,3.992580550115467,825499.248900000005960,9870951.501199999824166,7.6129141,0.8202207,2.3958361,1,686.191419184663118
3,6.639550897580725,825706.028699999675155,9871382.495899999514222,5.0802889,10.8926258,2.5503008,1,302.256414143621043
4,3.532925729300581,824750.247899999842048,9870638.861899999901652,5.7166033,6.3418093,3.3744583,1,1490.801337993170364
5,0.984353797981544,825965.045800000429153,9870972.750000000000000,5.4549685,6.9921875,3.0034385,1,316.865709319190842
6,1.103289191966013,825934.537299999967217,9870955.813699999824166,5.4549685,6.9921875,3.1598575,1,350.272935679490502
7,2.733519279387266,825492.432400000281632,9871184.837799999862909,6.5399108,4.0215855,2.0796669,1,582.555800073787168
8,1.313392225943857,825493.013899999670684,9871117.867900000885129,7.7741470,1.7861395,2.9953134,1,611.821569380609731
9,2.354791307930623,825907.861800000071526,9871394.877199999988079,5.8615060,6.9520988,2.8409905,1,117.056526117465921
10,3.832026103152156,825896.627399999648333,9871425.743400000035763,5.8615060,6.9520988,2.4340909,1,112.950446334342416
11,3.106806953580266,825838.187300000339746,9871366.053200000897050,5.8615060,6.9520988,2.7331810,1,192.203600285934982
12,7.353184812578225,825669.341099999845028,9871465.540599999949336,6.4547882,3.1497593,2.4601915,1,296.957266352945396
13,9.313934090726731,825569.496199999935925,9871393.348200000822544,5.3290854,9.1008720,1.9088464,1,418.753826702863421
14,10.289250482747999,825571.326500000432134,9871430.545800000429153,5.2190714,8.2181835,2.1541805,1,400.030479587541038
15,0.961838702126697,824673.616100000217557,9871321.410199999809265,6.1780028,3.5479286,3.3497553,1,1238.901334128723647
16,2.144054052395314,824766.238199999555945,9871356.720300000160933,6.1780028,3.5479286,3.7972109,1,1140.440600426605215
17,2.592982836586249,824790.648799999617040,9871367.363500000908971,6.1780028,3.5479286,4.2058511,1,1113.873724857101024
18,4.436848791691268,826865.274899999611080,9869616.933000000193715,6.1963687,4.3648038,0.4931844,1,323.252363621146060
19,6.598636370027863,825244.938599999994040,9871928.526200000196695,5.6204667,5.1733336,2.8244948,1,452.440350685728049
20,4.476181461887137,825868.054100000299513,9871570.883700000122190,5.9743838,3.8256533,2.1717658,1,72.067513258422139
21,2.241215495026938,825792.893299999646842,9871745.941600000485778,5.8601341,4.8975196,1.7430851,1,52.282696173189841
22,3.517268613320739,825739.583999999798834,9871917.651900000870228,5.7921391,4.4994740,2.1687565,1,18.061002167996261
23,3.128936639627922,825740.759600000455976,9871838.152499999850988,5.7921391,4.4994740,1.6426984,1,53.729837801315895
